Entry,Entry name,geneid,genename
O35674,ADA19_MOUSE,11492;,Adam19
Q80SY6,ADAL_MOUSE,75894;,Adal
Q05910,ADAM8_MOUSE,11501;,Adam8
Q6PAT0,ADAT3_MOUSE,100113398;,Adat3
Q6NSR3,ADCK2_MOUSE,57869;,Adck2
O70456,1433S_MOUSE,55948;,Sfn
P63101,1433Z_MOUSE,22631;,Ywhaz
Q6PD03,2A5A_MOUSE,226849;,Ppp2r5a
Q60876,4EBP1_MOUSE,13685;,Eif4ebp1
Q9D020,5NT3A_MOUSE,107569;,Nt5c3a
P56379,68MP_MOUSE,70257;,Mp68
Q6KAU8,A16L2_MOUSE,73683;,Atg16l2
P12023,A4_MOUSE,11820;,App
Q9D2R0,AACS_MOUSE,78894;,Aacs
Q9WVM8,AADAT_MOUSE,23923;,Aadat
Q925E7,2ABD_MOUSE,52432;,Ppp2r2d
Q61694,3BHS5_MOUSE,15496;,Hsd3b5
Q99LH9,3BP5L_MOUSE,79566;,Sh3bp5l
P70445,4EBP2_MOUSE,13688;,Eif4ebp2
Q9EST3,4ET_MOUSE,74203;,Eif4enif1
P10852,4F2_MOUSE,17254;,Slc3a2
P28334,5HT1B_MOUSE,15551;,Htr1b
Q02152,5HT2B_MOUSE,15559;,Htr2b
Q9R1C8,5HT6R_MOUSE,15565;,Htr6
Q91YE9,5NT1B_MOUSE,70881;,Nt5c1b
Q3V1L4,5NTC_MOUSE,76952;,Nt5c2
Q9CQ60,6PGL_MOUSE,66171;,Pgls
Q63805,A1AG3_MOUSE,,Orm3
Q61247,A2AP_MOUSE,18816;,Serpinf2
P58742,AAAS_MOUSE,223921;,Aaas
P51912,AAAT_MOUSE,,Slc1a5
P05202,AATM_MOUSE,14719;,Got2
Q80W40,ACSM4_MOUSE,233801;,Acsm4
Q8BFZ3,ACTBL_MOUSE,238880;,Actbl2
Q7TPR4,ACTN1_MOUSE,109711;,Actn1
P57780,ACTN4_MOUSE,60595;,Actn4
Q99JW2,ACY1_MOUSE,109652;,Acy1
P56376,ACYP1_MOUSE,66204;,Acyp1
Q9JI76,ADA21_MOUSE,56622;,Adam21
Q9R160,ADA24_MOUSE,13526;,Adam24
Q811Q4,ADA29_MOUSE,,Adam29
P30545,ADA2B_MOUSE,,Adra2b
Q8K410,ADA32_MOUSE,353188;,Adam32
Q8R2V5,ADAP2_MOUSE,216991;,Adap2
P97490,ADCY8_MOUSE,11514;,Adcy8
Q9JKV1,ADRM1_MOUSE,56436;,Adrm1
P48962,ADT1_MOUSE,11739;,Slc25a4
Q9CZI9,AEN_MOUSE,68048;,Aen
P51827,AFF3_MOUSE,,Aff3
A0A0M3U1B0,SYC2L_MOUSE,637277;,Sycp2l
Q9D495,SYCE1_MOUSE,74075;,Syce1
Q8C0C7,SYFA_MOUSE,66590;,Farsa
F6SEU4,SYGP1_MOUSE,240057;,Syngap1
Q8BIJ6,SYIM_MOUSE,381314;,Iars2
Q8BMJ2,SYLC_MOUSE,107045;,Lars
Q68FL6,SYMC_MOUSE,216443;,Mars
Q80X82,SYMPK_MOUSE,,Sympk
Q3USQ7,SYN1L_MOUSE,627191;,Syndig1l
O88935,SYN1_MOUSE,20964;,Syn1
Q64332,SYN2_MOUSE,20965;,Syn2
Q8BI41,SYNB_MOUSE,239167;,Synb
Q6ZWR6,SYNE1_MOUSE,64009;,Syne1
Q91YE8,SYNP2_MOUSE,,Synpo2
Q8BGN8,SYNPR_MOUSE,72003;,Synpr
O70555,SPR2D_MOUSE,20758;,Sprr2d
O70562,SPR2K_MOUSE,20765;,Sprr2k
Q8BWU1,SPRN_MOUSE,212518;,Sprn
O09116,SPRR3_MOUSE,20766;,Sprr3
Q8BH69,SPS1_MOUSE,109079;,Sephs1
Q9CVW4,SPT45_MOUSE,75558;,Spata45
Q4FZF2,SPT46_MOUSE,76925;,Spata46
Q62270,SRMS_MOUSE,,Srms
Q8BTI8,SRRM2_MOUSE,75956;,Srrm2
Q9QZX7,SRR_MOUSE,27364;,Srr
Q62093,SRSF2_MOUSE,20382;,Srsf2
Q3TWW8,SRSF6_MOUSE,67996;,Srsf6
Q9JJ94,SSNA1_MOUSE,68475;,Ssna1
Q5DQR4,STB5L_MOUSE,207227;,Stxbp5l
Q8C7E7,STBD1_MOUSE,52331;,Stbd1
O55183,STC1_MOUSE,20855;,Stc1
Q91WM1,STRBP_MOUSE,20744;,Strbp
Q3TDQ1,STT3B_MOUSE,68292;,Stt3b
Q0VBF8,STUM_MOUSE,381310;,Stum
Q8BVI5,STX16_MOUSE,228960;,Stx16
Q8VDS8,STX18_MOUSE,71116;,Stx18
P61264,STX1B_MOUSE,56216;,Stx1b
O70439,STX7_MOUSE,,Stx7
Q60969,STYX_MOUSE,56291;,Styx
Q9WUM5,SUCA_MOUSE,56451;,Suclg1
Q9JIS5,SV2A_MOUSE,64051;,Sv2a
